Le Havre
Bréauté-Beuzeville
Yvetot
Rouen-Rive-Droite
Paris-St-Lazare
Dieppe
Auffay
Clères
Montville
Oissel
Val-de-Reuil
Gaillon-Aubevoye
Vernon-Giverny
Cherbourg
Valognes
Carentan
Lison
Bayeux
Caen
Bernay
Lisieux
Evreux - Normandie
Pont-l'Evêque
Trouville-Deauville
Granville
Villedieu (Gare)
Vire
Flers
Briouze
Argentan
Surdon
L'Aigle
Verneuil-sur-Avre
Dreux
Paris-Montp.3-Vaug.
Paris-Montparnasse 1-2
Folligny
Paris-Austerlitz
Aubrais-(les)
Salbris
Vierzon
Bourges
Paris-Bercy
Nevers
Fourchambault
Pougues-les-Eaux
La-Charité-sur-Loire
Cosne-sur-Loire
Briare
Gien
Nogent-sur-Vernisson
Montargis
Nemours-St-Pierre
Paris-Gare-de-Lyon
Tracy-Sancerre
Ste-Gauburge
Nonancourt
Versailles-Chantiers
Orléans
Blois-Chambord
Onzain-Chaumont-/-L
Amboise
St-Pierre-des-Corps
Tours
Calais Ville
Boulogne Ville
Etaples Le Touquet
Rang du Fl. Verton Ber.
Rue
Noyelles-sur-Mer
Abbeville
Amiens
Longueau
Paris Gare du Nord
Cambrai Ville
Caudry
Busigny
St Quentin
Compiègne
Aulnoye Aymeries
Maubeuge
Creil
Pont-Ste-Maxence
Noyon
Chauny
Tergnier
Le Cateau
Mézidon-Canon
St-Pierre-sur-Dives
Sées
Alençon
Vivoin-Beaumont
Montbizot
Le Mans
Ecommoy
Château-du-Loir
Connerré-Beillé
La Ferté-Bernard
Nogent-le-Rotrou
La Loupe
Courville-sur-Eure
Chartres
Maintenon
Epernon
Rambouillet
Chenonceaux
Montrichard
St-Aignan-Noyers
Selles-sur-Cher
Gièvres
Villefranche-sur-Cher
Moulins-sur-Allier
Dompierre-Sept-Fons
Gilly-sur-Loire
Digoin
Paray-le-Monial
La Clayette-Baudemont
Chauffailles
Lamure-sur-Azergues
Bois-d'Oingt-Légny
Lozanne
Lyon-Part-Dieu
Lyon-Perrache
Villefranche-Vernet-l.B
Serdinya
Joncet
Olette-Canaveilles-l.B.
Nyers
Thuès-les-Bains
Thuès-Carança
Fontpédrouse-St-Thomas
Sauto
Planès
Mont-Louis-la-Cabanasse
Bolquère-Eyne
Font-Romeu-Odeillo-Via
Estavar
Saillagouse
Err
Ste-Léocadie
Osséja
Bourg-Madame
Ur-les-Escaldes
Béna-Fanes
Latour-de-Carol-Enveitg
Briançon
L'Argentière-les-Ecrins
Montdauphin-Guillestre
Embrun
Chorges
Gap
Veynes-Dévoluy
Luc-en-Diois
Die
Saillans
Crest
Livron
Valence-Ville
Valence-TGV
Romans-Bourg-de-Péage
Marseille-St-Charles
Saint-Antoine
Septèmes
Simiane
Gardanne
Aix-en-Provence
Meyrargues
Manosque-Gréoux
La Brillanne-Oraison
Château-Arnoux-St-Auban
Sisteron
Laragne
Serres
Picon-Busserine.
Ste-Marthe-en-Provence
St-Joseph-Le-Castellas.
Toulon
Les Arcs-Draguignan
St-Raphaël-Valescure
Cannes
Antibes
Nice-Ville
Grenoble
Moirans
Tullins-Fures
Vinay
St-Marcellin
Chambéry-Chal.-les-Eaux
Montmélian
Pontcharra-sur-Bréda
Grenoble U.-Gières
St-Hilaire-St-Nazaire
Annecy
Rumilly
Albens
Grésy-sur-Aix
Aix-les-Bains-le-Revard
Montélimar
Pierrelatte
Bollène-la-Croisière
Orange
Avignon-Centre
Voiron
La Tour-du-Pin
Bourgoin-Jallieu
La Verpillière
Tain
Le Péage-de-Roussillon
Vienne
Vitrolles-Aér-Marseille
Miramas
St-Martin-de-Crau
Arles
Le Teil
St-Peray
Dijon-Ville
Les Laumes-Alésia
Montbard
Nuits-sous-Ravières
Tonnerre
St-Florentin-Vergigny
Laroche-Migennes
Joigny
Sens
Etigny-Véron
Villeneuve-sur-Yonne
St-Julien-du-Sault
Beaune
Chagny
Chalon-sur-Saône
Tournus
Mâcon-Ville
Belleville-sur-Saône
Villefranche-sur-Saône
St-Germain-au-Mont-d'Or
Bourg-St-Maurice
Landry
Aime-la-Plagne
Moûtiers-Salins-Brides
Notre-Dame-de-Briançon
Albertville
Frontenex
Grésy-sur-Isère
St-Pierre-d'Albigny
Ambérieu-en-Bugey
Aiguebelette-le-Lac
Lépin-le-Lac-la-Bauche
St-Béron-la-Bridoire
Pont-de-Beauvoisin
Les Abrets-Fitilieu
St-André-le-Gaz
Morteau
Le Locle-Col-des-Roches
Le Locle
Crêt-du-Locle (le)
La Chaux-de-Fonds
Gilley
Avoudrey
Le Valdahon
Valdahon-Camp-Militaire
Etalans
L'Hôpital-du-Gros-Bois
Mamirolle
Saône
Morre
Besançon-Mouillère
Besançon-Viotte
Pontarlier
Frasne
Labergement-Ste-Marie
Vallorbe-Cff
Neuchâtel
Travers
Mouchard
Dole-Ville
Delémont
Courtételle
Courfaivre
Bassecourt
Glovelier
